Project Name,Category
Continuous Delivery Foundation (CDF),"CI/CD & Site Reliability, DevOps"
COBOL Programming Course,"System Administration, System Engineering, Web App Development"
Esprima,Web App Development
Common Print Dialog Backends,IoT & Embedded
DeepCausality,AI / ML / Data Analytics
Confidential Computing Consortium (CCC),"Cloud, Containers & Virtualization, Privacy & Security"
EVerest,AI / ML / Data Analytics
DENT Project,Networking & Edge
Enarx,"Cloud, Containers & Virtualization, Privacy & Security"
CNI,"Cloud, Containers & Virtualization"
Diversity and Inclusion Badging Initiative,Cross-Technology
emissary-ingress,"Cloud, Containers & Virtualization"
Digital Production Example Library (DPEL),Visual Effects
Clusternet,"Cloud, Containers & Virtualization"
EdgeLake,Networking & Edge
DataLoader,"AI / ML / Data Analytics, Web App Development"
CoMPAS,"Cloud, Containers & Virtualization, System Administration"
EdgeX Foundry,Networking & Edge
Express,Web App Development
COCONUT-SVSM,Privacy & Security
DocumentDB,AI / ML / Data Analytics
Coalition for Content Provenance and Authenticity (C2PA),"AI / ML / Data Analytics, Web App Development"
DiaMon Workgroup,System Administration
Dovetail,"Cloud, Containers & Virtualization, Networking & Edge"
CoreDNS,"Cloud, Containers & Virtualization"
Envoy,"CI/CD & Site Reliability, Cloud, Containers & Virtualization, DevOps"
Fastify,Web App Development
Delta Lake Project,AI / ML / Data Analytics
eBPF Foundation,Networking & Edge
ent,"Cloud, Containers & Virtualization, Web App Development"
Cregit,AI / ML / Data Analytics
Dynaωo,Cross-Technology
Driverless Printing,IoT & Embedded
Dragonfly,"Cloud, Containers & Virtualization"
Crossplane,"Cloud, Containers & Virtualization"
DAOS Foundation,Storage
Edge Interoperability and Flexibility SIG,"Cross-Technology, Networking & Edge"
FATE Project,"AI / ML / Data Analytics, Cloud, Containers & Virtualization"
ContainerSSH,"Cloud, Containers & Virtualization"
ELISA Fund,"Linux Kernel, Open Source Compliance, Safety-Critical Systems, Web App Development"
DeepSpeed,AI / ML / Data Analytics
Dojo,Web App Development
Core Toolchain Infrastructure (CTI),Linux Kernel
Core Embedded Linux Project (CELP),"IoT & Embedded, Linux Kernel"
Credo,Blockchain
Drasi,"Cloud, Containers & Virtualization"
Cortex,"Cloud, Containers & Virtualization"
CubeFS,"Cloud, Containers & Virtualization, Storage"
CloudNativePG,"Cloud, Containers & Virtualization"
Ergo,"Blockchain, Web App Development"
Embedded and Automotive PV Drivers,"Cloud, Containers & Virtualization"
